id,artist_id,album_title,genre,year_of_pub,num_of_tracks,num_of_sales,rolling_stone_critic,mtv_critic,music_maniac_critic
1,1767,Call me Cat Moneyless That Doggies,Folk,2006,11,905193,4.0,1.5,3.0
2,23548,Down Mare,Metal,2014,7,969122,3.0,4.0,5.0
3,17822,Embarrassed Hungry,Latino,2000,11,522095,2.5,1.0,2.0
4,19565,Standard Immediate Engineer Slovakia,Pop,2017,4,610116,1.5,2.0,4.0
5,24941,Decent Distance Georgian,Black Metal,2010,8,151111,4.5,2.5,1.0
6,1988,Tall,Progressive,2018,15,537615,4.5,1.5,2.0
7,43032,Steel Patrol Officer The Queen Panda Pleasant,Pop-Rock,2006,5,254802,5.0,2.0,2.5
8,648,kneel Llama Hanger Uzbekistan Relax,Retro,2005,3,488696,0.5,5.0,4.5
9,19441,Lovers Totally Manager,Latino,2008,10,239081,1.5,2.0,2.5
10,13687,Rock,Western,2002,14,531099,3.5,1.0,3.5
11,42331,Boring Tetum Living On A Prayer Bandicoot Malay,K-Pop,2017,14,164412,1.5,3.5,3.0
12,5630,Crying for the Of Love Zeus,Indie,2008,4,395487,2.0,5.0,4.0
13,40571,Bonjour Damoiselle Belle,Lounge,2014,12,229540,0.5,1.0,4.5
14,11023,Gabby Orange Bird,J-Rock,2009,2,565346,2.5,1.5,1.5
15,5242,Information Miami Dream France Blue,Western,2006,4,229870,1.5,0.5,2.0
16,19825,Permit Robbers,Hard Rock,2001,13,237665,4.5,1.5,2.0
17,48831,Pies Face Hanger Panda,Unplugged,2009,5,551170,0.5,3.0,1.0
18,23087,Of Loves Flippin,J-Rock,2017,6,327052,4.5,2.5,1.0
19,26338,Barbie Boring,Pop-Rock,2013,15,349194,3.5,1.5,4.5
20,10563,Dental Hygienist Don't Talk to,Jazz,2003,13,539238,5.0,2.0,5.0
21,30707,To my Beloved And Lucky Desperate,Trap,2003,6,172556,2.5,4.0,1.0
22,27322,Practical,K-Pop,2015,4,466981,4.5,4.0,3.0
23,24422,Life Of A Queen,Retro,2009,15,165557,2.0,3.5,1.5
24,37924,Saudi Audi,Lounge,2016,6,833311,5.0,4.5,0.5
25,37393,Entertaining,Pop,2011,7,430186,4.5,2.5,4.0
26,48946,Turkish Georgian,Ambient,2012,10,177322,2.0,4.5,4.5
27,13413,Morgan The Delightful Heroes of Wales I'll Former Daihatsu,Rap,2011,2,444811,3.0,4.5,3.0
28,24452,Confident,Lounge,2011,6,765393,4.0,2.0,4.5
29,25468,Ferret Past Good,Heavy Metal,2015,14,564423,4.5,3.5,1.5
30,42819,Try Cadillac,Pop,2008,6,953494,1.5,4.0,0.5
31,31148,Direful A Wild,Latino,2017,15,749968,2.0,1.0,3.0
32,9232,Dancing Cow Of,Dance,2019,7,15211,3.0,0.5,0.5
33,41981,Of Singapore Of Finding Weak,Retro,2015,10,498303,0.5,1.0,0.5
34,40999,Gonna Bison Of Believe In the Sky,Alternative,2002,3,422751,4.5,5.0,4.0
35,18124,Algerian Candy,Death Metal,2005,3,77769,5.0,1.5,2.0
36,9199,Next to Matteo Reasonable Able Jamila,Trap,2014,12,547414,3.5,4.5,5.0
37,35347,Entertaining Time,Death Metal,2007,3,583635,2.5,3.5,4.0
38,18716,Ride I'm Brash,Pop,2019,9,981505,3.0,2.0,2.5
39,25153,Latter Finding,Heavy Metal,2006,2,902314,4.0,4.5,5.0
40,29469,RAM Trucks I used to,Live,2015,13,609209,1.5,4.5,3.0
41,15326,RAM Trucks Eland Headless Chicken Useful,K-Pop,2002,8,494751,5.0,3.5,3.5
42,38798,Matteo Noodles,Blues,2015,2,499069,3.5,2.5,3.5
43,112,Financial Latter,Compilation,2014,6,635575,3.5,4.0,3.0
44,18691,Pharmacist Final Form,Gospel,2013,13,807633,3.5,5.0,4.5
45,5997,Don't Forget the,Metal,2012,2,853478,3.5,2.0,1.0
46,9610,Pies Sufficient Hare,Ambient,2012,7,222783,3.5,0.5,0.5
47,27676,Song More,Country,2012,3,444808,4.5,3.0,0.5
48,25344,Interesting Pure Important Camel Adventure of the,Metal,2007,12,737881,5.0,5.0,1.5
49,5436,Nice Federal Sandwiches Existing Southern,Jazz,2008,5,507873,2.5,5.0,2.0
50,49539,Butter,Black Metal,2010,2,212345,0.5,4.0,4.5
51,28263,Mister Sing My Asset Yellow,Pop,2002,12,916873,2.5,2.0,2.5
52,3664,Ampelmann Hear Psychedelic For Us,Pop-Rock,2015,11,44603,3.5,2.0,0.5
53,19380,Bertie Said Lion Music Shaggy,Deep House,2011,2,754243,2.0,3.0,4.5
54,37637,Electrical Alan On a My Cause,Indie,2016,7,911157,3.5,4.0,0.5
55,14282,That's My Ultra-Maximus Lamb,Black Metal,2015,11,980691,0.5,3.5,2.0
56,27216,Jinyu,Blues,2010,14,268349,4.0,5.0,3.5
57,15372,East Timor Educational,Ambient,2002,8,631337,1.0,4.0,5.0
58,4412,Ride You Biker Beer,Hard Rock,2009,2,295464,3.0,5.0,2.0
59,11235,Mathematician Behind Italian Sports,Pop,2013,9,894973,4.0,5.0,0.5
60,7355,Terrible Bear In the Sky Able Jamila,Lounge,2012,5,977546,1.5,2.0,1.5
61,45552,White Eat Drink and Be Merry,Pop,2008,6,340630,0.5,4.5,1.5
62,21413,Garden,Trap,2000,3,959731,3.5,4.0,2.5
63,15112,Inside My,Lounge,2013,15,193097,4.5,1.0,3.0
64,22284,Eastern Tree Jordan,Pop,2003,9,332163,4.0,4.0,5.0
65,14327,Rupert Incredible Practical Gentle Relax,Blues,2009,11,562963,4.0,4.0,4.0
66,21382,Shy Estar,Brit-Pop,2000,9,848426,3.5,3.5,1.0
67,13739,Obvious Listen Afraid So Intuitive Pakistan,Indie,2018,6,416729,3.0,3.5,3.0
68,29614,Ambra Inside Out,Parody,2010,15,212667,0.5,2.0,2.5
69,33675,Falling Believe,Heavy Metal,2017,10,58206,4.5,3.5,3.0
70,13353,Good Ugly Of Love,Parody,2018,6,589278,2.5,0.5,5.0
71,17330,Guttural Gentle,Heavy Metal,2009,14,63276,2.5,2.0,1.5
72,31345,Gazelle Smart Brown Effect Finding,J-Rock,2001,4,432911,2.5,3.5,3.0
73,20402,Hanger Arrange Nepal,Western,2002,13,474724,0.5,2.0,2.5
74,44235,Magic Hunted Elephant Guttural,Hard Rock,2002,2,440469,1.5,3.5,5.0
75,3684,Maria Dance,J-Rock,2003,9,14429,3.0,4.0,5.0
76,35118,Electrical Typical Hijazi Ferrari Flippin,Deep House,2019,4,76233,3.5,2.0,2.0
77,49879,Additional,Compilation,2001,4,915656,0.5,4.5,3.0
78,36893,Insurance Volvo Exciting,Indie,2018,2,186163,4.0,4.0,2.5
79,33741,Bonjour Damoiselle Belle,Lounge,2013,12,320261,0.5,2.0,1.5
80,14249,Don't Touch My Nove Millimetri,Western,2014,10,857842,5.0,1.0,3.0
81,9467,Conscious Bless United Zeus Southern,Parody,2018,5,936676,4.5,2.0,1.5
82,27840,Try Cadillac,Pop,2006,6,428405,1.0,1.0,1.5
83,857,Catch me,Techno,2004,2,997728,3.0,0.5,4.0
84,45676,Just For,Progressive,2004,8,398061,0.5,5.0,2.5
85,11168,Magical,Rock,2018,9,117401,1.5,0.5,2.0
86,31552,I Ain't No Legs Mare,Gospel,2002,11,48249,4.5,3.0,4.0
87,9907,Egypt Skoda Cool Spain,Indie,2019,9,417789,4.0,3.5,4.0
88,49893,Leopard Stars Significant,Latino,2000,13,631861,4.5,4.0,2.5
89,46844,Face Conscious,Techno,2004,9,386283,3.5,1.0,3.0
90,45769,Tutti i Frutti Successful,Pop-Rock,2006,11,605253,0.5,4.5,0.5
91,9300,You Look Like Bertie Said,Punk,2018,3,706453,5.0,0.5,2.0
92,4011,China,Punk,2015,10,527489,4.0,1.0,2.0
93,42712,Human MINI Microwave FAW,Indie,2015,8,537953,3.5,5.0,1.0
94,40914,Ferrari Next To Onesan,Techno,2011,6,300446,0.5,5.0,2.5
95,17653,Incredible Driver Significant Bislama Moneyless,Jazz,2017,14,394339,1.0,3.0,0.5
96,44142,Embarrassed Like Sadness,Death Metal,2009,11,999144,4.5,2.0,5.0
97,33658,Trick Able Jamila,Indie,2017,12,613695,0.5,5.0,0.5
98,23007,First Yesterday To Pure Indian,Punk,2006,2,999419,5.0,0.5,1.0
99,42847,Form In Your Eyes,Gospel,2013,10,734481,1.0,2.0,1.5
100,43510,Photographer,Rap,2000,8,477347,4.0,1.5,3.5
101,40174,Nervous,Rap,2014,10,988447,2.5,2.5,2.0
102,2575,Bonjour Damoiselle Belle,Lounge,2012,8,718639,2.0,2.0,4.0
103,22206,Chinchilla,Boy Band,2001,7,275814,5.0,5.0,5.0
104,33063,Candy Chevrolet For my Elisa,Dance,2013,8,289137,4.5,3.5,4.0
